Tracking Number,Continent,Country,Department / Province / State,County,City/Town/Hamlet,Specific Locale,new_continent,new_country,new_department / Province / State,new_county,new_city/Town/Hamlet,new_specific Locale
M90136,Mediterranean,,,,,,Mediterranean,,,,,
M90128,Medeterranean,,,,,,Mediterranean,,,,,
M59233,Atlantic Ocean,"Senegal,","Yenne,",,,,Atlantic Ocean,Senegal,Yonne,,,
M62913,Atlantic Ocean,"South Africa,","Cape Province,","The Haven,",,"6 miles north,",Atlantic Ocean,South Africa,Cape Province,The Haven,,6 miles north
M82848,Pacific Ocean,"United States,","California,","Cayucos,",,,Pacific Ocean,United States,California,Cayucos,,
M46363,,Oman,"Gulf of Oman,","South of Muscat,",,"in 40 feet of water, among coral rubble,",,Oman,Gulf of Oman,South of Muscat,,
M46364,,Oman,"Gulf of Oman,","South of Muscat,",,"in 40 feet of water, among coral rubble,",,Oman,Gulf of Oman,South of Muscat,,
M60200,,Somalia,"North-East,","Ras Hafun,",,"Trawled 250m,",,Somalia,northeast,Ras Hafun,,Trawled 250m
M31904,,Mediterranean,,,,,,Mediterranean,,,,
M27404,Pacific Ocean,"Japan,","Wakayama Prefecture,","Kusui, Nada-Cho,",,,Pacific Ocean,Japan,Wakayama Prefecture,Kusui NadaCho,,
M72079,,United States,"Florida,","Swanee River at Branford,",,,,United States,Florida,,,
M71719,,United States,"New York,","Long Island,",,"Orient Point,",,United States,New York,Long Island,,Orient Point
M72553,,United States,"Florida,","Sanibel Island,",,"South beach,",,United States,Florida,Sanibel Island,,South beach
M51267,,Philippines,,,,,,Philippines,,,,
M70609,,United States,"Missouri, St.Louis County,","Valley Park,",,"Meramec River, Hwy.141,",,United States,Missouri StLouis County,Valley Park,,Meramec River Hwy141
M70610,,United States,"Missouri,","Silva,",,"St. Francis River,",,United States,Missouri,Silva,,St Francis River
M70608,,United States,"Missouri,","Valley Park,",,"Meramec River, Hwy.141,",,United States,Missouri,Valley Park,,Meramec River Hwy141
M72078,,United States,"Florida,","Swanee River at Branford,",,,,United States,Florida,,,
M70791,,United States,"Florida,","Longboat Key,",,"on cerita shell,",,United States,Florida,Longboat Key,,on cerita shell
M71143,,United States,"Florida,","Sanibel North End on Blind Pass,",,"Mud Flats,",,United States,Florida,,,Mudflats
M72546,,United States,"Florida,","Sanibel Island,",,"South beach,",,United States,Florida,Sanibel Island,,South beach
M72554,,United States,"Florida,","Sanibel Island,",,"South beach,",,United States,Florida,Sanibel Island,,South beach
M20304,,FK-206,,,,,,FK206,,,,
M43890,,New Caledonia,,Beurail,,,,New Caledonia,,Bedrail,,
M62465,Atlantic Ocean,"South Africa,","Strand,",,,,Atlantic Ocean,South Africa,Strand,,,
M90436,,,,,,,,,,,,
M72042,,United States,"Pennsylvania, Somerset County,","60 miles SE of Pittsburgh,",,"Kooser State Park,",,United States,Pennsylvania Somerset County,,,Kooser State Park
M59152,Atantic Ocean,"Senegal,","West Africa,",,,,Atantic Ocean,Senegal,West Africa,,,
M72040,,United States,"Pennsylvania, Monroe County,","N. of Stroudsburg,",,"Rte 191 near Delaware,",,United States,Pennsylvania Monroe County,N of Stroudsburg,,
M72041,,United States,"Pennsylvania,","Allegheny County,",,"Oakmont,",,United States,Pennsylvania,Allegheny County,,Oakmont
M83844,Gulf of Mexico,"United States,","Florida,","Sarasota,Newburn Pits,",,,Gulf of Mexico,United States,Florida,SarasotaNewburn Pits,,
M56051,Bohol Strait,"Philippines,","Cebu,",,,,Bohol Strait,Philippines,Cebu,,,
M67363,,United States,"New Jersey,","12 miles, East Asbury Park,",,"80-85 feet, sandy mud, trawled by """"Grace Ann"""" out of Shark River,",,United States,New Jersey,,,
M82621,North America,"United States,",,,,,North America,United States,,,,
M30099,,locality unknown,,,,,,locality unknown,,,,
M45720,Pacific Ocean,"New Zealand,","Wanganui,","Castlecliff,",,,Pacific Ocean,New Zealand,Wanganui,Castlecliff,,
M57035,Sulu Sea,"Philippines,","Sulu,",,,,Sulu Sea,Philippines,Sulu,,,
M15120,Caribbean Sea,"Cuba,","Matanzas Bay,",,,"100 fathoms, shell trap,",Caribbean Sea,Cuba,Matanzas Bay,,,
M62826,Atlantic Ocean,"South Africa,","Cape Province,","Haga Haga Hotel,",,,Atlantic Ocean,South Africa,Cape Province,Haga Haga Hotel,,
M90206,,,,,,,,,,,,
M90205,,,Navy Bay,,,,,,Navy Bay,,,
M61711,Atlantic Ocean,"South Africa,","Cape Agulhas,",,,,Atlantic Ocean,South Africa,Cape Agulhas,,,
M66400,North America,United States,California,,,Santa Barbara Island ,North America,United States,California,,,Santa Barbara Island 
M66412,North America,United States,Utah,,,near Logan ,North America,United States,Utah,,,near Logan 
M28945,Pacific Ocean,"Japan,","Okinawa,","Kin Bay,",,,Pacific Ocean,Japan,Okinawa,Kin Bay,,
M52759,,Philippines,"Mactan Channel,",,,,,Philippines,Mactan Channel,,,
M53252,,Philippines,,Cebu,,,,Philippines,,Cebu,,
M53450,,Philippines,,,,,,Philippines,,,,
M55450,Bohol Sea,"Philippines,","Bohol,","Panglao,",,,Bohol Sea,Philippines,Bohol,Anglo,,
